concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_path
38,a storefront,151,A photo of a storefront in Spain,63,"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?","['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",gs://stabdiff21/storefront_38/151_a storefront in Spain/96.png,38_63_151_96,['gift shop'],"['The storefront displays a variety of items like boxes, decorative pieces, and what appears to be clothing.', ""The items seem to be intended for sale, and they don't fall into a specific category like books, electronics, or groceries."", 'The variety and nature of the items suggest that the store is likely a gift shop.']",imgsneurips/10.png
38,a storefront,66,A photo of a storefront in Indonesia,64,What primary material is used in the storefront's construction?,"['brick', 'wood', 'glass', 'stone', 'vinyl', 'stucco', 'concrete', 'metal', 'None of the above']",gs://stabdiff3m/storefront_38/66_a storefront in Indonesia/217.png,38_64_66_217,"['wood', 'metal']","[""The storefront's walls and supporting structures appear to be made of wooden planks or boards."", 'The rolling shutter door is likely made of metal.']",imgsneurips/11.png
38,a storefront,158,A photo of a storefront in China,64,What primary material is used in the storefront's construction?,"['brick', 'wood', 'glass', 'stone', 'vinyl', 'stucco', 'concrete', 'metal', 'None of the above']",gs://subgeodeanon_lim5/storefront_38/158/5.png,38_64_158_5,['wood'],"['The storefront prominently features wooden doors, frames, and panels.', 'The walls and structural elements appear to be constructed from wood.', ""While other materials like glass (in the windows) and metal (in signage and fixtures) are present, wood is the primary material used in the storefront's construction.""]",imgsneurips/12.png
38,a storefront,159,A photo of a storefront in United States of America,69,Are there any plants near the entrance?,"['yes', 'no', 'None of the above']",gs://fluxgen/storefront_38/159_a storefront in United States of America/145.png,38_69_159_145,['yes'],"['The image shows a clothing store with two display windows.', 'There is a small potted plant in each window display.', 'The plants are located near the entrance of the store.']",imgsneurips/13.png
38,a storefront,63,A photo of a storefront in United Kingdom,69,Are there any plants near the entrance?,"['yes', 'no', 'None of the above']",gs://stabdiff21/storefront_38/63_a storefront in United Kingdom/217.png,38_69_63_217,['no'],"['The image shows the entrance of a shop.', 'There are no plants visible near the entrance.']",imgsneurips/14.png
38,a storefront,69,A photo of a storefront in India,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff3m/storefront_38/69_a storefront in India/160.png,38_67_69_160,"['orange', 'pink', 'green', 'yellow', 'brown']","['The building facade is primarily orange.', 'The signage includes pink and green.', 'The lower border of the storefront is yellow.', 'The doors appear weathered and brown.']",imgsneurips/15.png
38,a storefront,154,A photo of a storefront in Philippines,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff21/storefront_38/154_a storefront in Philippines/176.png,38_67_154_176,"['orange', 'red', 'green', 'white']","[""The storefront sign for 'DURONIA SRIOCICOTES' has a light green background."", ""The sign for 'CHY' has an orange background."", ""The 'AOS' sign is red."", ""The 'Do Gre' sign is orange."", ""The 'Special Things' sign is also orange."", 'There are orange drapes hanging on the right side of the storefront.', 'The lower portion of the storefront is painted white.', 'The tables in front of the store are green.']",imgsneurips/16.png
38,a storefront,151,A photo of a storefront in Spain,68,Is there an awning present?,"['yes', 'no', 'None of the above']",gs://stabdiff21/storefront_38/151_a storefront in Spain/170.png,38_68_151_170,['yes'],"['The image shows a store front with a window display.', 'There is a bamboo or wicker blind covering the window display.', 'This blind can be considered an awning.']",imgsneurips/17.png
38,a storefront,154,A photo of a storefront in Philippines,67,What colors are prominent on the storefront's exterior?,"['pink', 'gray', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'orange', 'None of the above']",gs://stabdiff21/storefront_38/154_a storefront in Philippines/61.png,38_67_154_61,"['red', 'gray', 'white', 'blue', 'green']","['The storefront sign has a red background.', 'The rolling door is primarily gray.', 'The wall below the rolling door is a dirty white or light gray.', 'The wall above the rolling door is teal or light blue-green.']",imgsneurips/18.png
38,a storefront,67,A photo of a storefront in Colombia,63,"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?","['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",gs://stabdiff3m/storefront_38/67_a storefront in Colombia/106.png,38_63_67_106,['clothing store'],"['The image shows a storefront with various clothes displayed.', 'There are dresses, shirts, and other garments hanging on racks and folded on shelves.']",imgsneurips/19.png
0,a bag,0,A photo of a bag in United Kingdom,5,"What is the approximate shape of the bag (e.g., square, rectangular, round)?","['crescent', 'round', 'triangular', 'square', 'rectangular', 'trapezoidal', 'None of the above']",gs://fluxgen/bag_0/0_a bag in United Kingdom/218.png,0_5_0_218,['rectangular'],"['The bag has a clear structure with defined sides and angles.', 'The top and bottom edges are relatively parallel.', 'The sides are also relatively straight and parallel.', 'The overall shape is elongated, resembling a rectangle.']",imgsneurips/20.png
0,a bag,72,A photo of a bag in Egypt,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://stabdiff21/bag_0/72_a bag in Egypt/228.png,0_1_72_228,"['canvas', 'burlap']","['The bag appears to be made of a woven fabric with a slightly rough texture.', 'The color and texture resemble canvas or burlap.']",imgsneurips/21.png
0,a bag,74,A photo of a bag in Mexico,3,Are there any logos or brand markings visible on the bag?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/bag_0/74_a bag in Mexico/206.png,0_3_74_206,['no'],"['Carefully examine the image of the bag for any logos or brand markings.', 'No visible logos or brand markings are present on the bag.']",imgsneurips/22.png
0,a bag,77,A photo of a bag in China,4,"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?","[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']",gs://stabdiff3m/bag_0/77_a bag in China/40.png,0_4_77_40,"[""on someone's shoulder""]","['The image shows a person wearing a bag with shoulder straps.', ""The bag is clearly positioned on the person's back.""]",imgsneurips/23.png
0,a bag,74,A photo of a bag in Mexico,4,"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?","[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']",gs://fluxgen/bag_0/74_a bag in Mexico/41.png,0_4_74_41,['hanging on a rack or hook'],"['The image shows a handbag hanging from a metal structure, likely a gate or railing.', 'The bag is not being held, worn, or displayed in a traditional retail setting.']",imgsneurips/24.png
0,a bag,1,A photo of a bag in Nigeria,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://fluxgen/bag_0/1_a bag in Nigeria/72.png,0_1_1_72,['faux leather'],"['The bag appears to have a printed pattern and a slightly stiff structure.', 'The handles and trim have a smooth, leather-like finish.', 'The overall appearance suggests a synthetic material designed to mimic leather.']",imgsneurips/25.png
0,a bag,1,A photo of a bag in Nigeria,3,Are there any logos or brand markings visible on the bag?,"['yes', 'no', 'None of the above']",gs://fluxgen/bag_0/1_a bag in Nigeria/131.png,0_3_1_131,['yes'],"[""The image clearly shows the word 'AN1USEANA' embroidered on the bag."", 'This text appears to be a brand name or logo.']",imgsneurips/26.png
0,a bag,4,A photo of a bag in Colombia,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://fluxgen/bag_0/4_a bag in Colombia/245.png,0_1_4_245,['leather'],"['The bag appears to have a slightly textured, matte finish, which is characteristic of leather.', ""The bag's handles and straps also have a leather-like appearance."", 'The overall construction and stitching of the bag suggest a quality material like leather.']",imgsneurips/27.png
0,a bag,3,A photo of a bag in Indonesia,4,"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?","[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']",gs://fluxgen/bag_0/3_a bag in Indonesia/110.png,0_4_3_110,"[""on someone's shoulder""]","['The image shows a woman with a backpack. The backpack is on her back.', ""The straps of the backpack are over the woman's shoulders.""]",imgsneurips/28.png
0,a bag,73,A photo of a bag in Philippines,1,"What material is the bag made of (e.g., leather, canvas, plastic)?","['canvas', 'wicker', 'faux leather', 'suede', 'nylon', 'straw', 'denim', 'leather', 'paper', 'jute', 'plastic', 'burlap', 'None of the above']",gs://subgeodeanon_lim5/bag_0/73/196.png,0_1_73_196,['nylon'],"['The bag appears to be made of a synthetic, woven material.', 'The sheen and texture suggest a common material used for backpacks.', 'The bag is lightweight and water-resistant, which is not typical of leather, canvas, or other natural fibers.']",imgsneurips/29.png
24,a backyard,44,A photo of a backyard in Turkey,49,"Does the backyard include a swimming pool, hot tub, or other water feature?","['yes', 'no', 'None of the above']",gs://stabdiff21/backyard_24/44_a backyard in Turkey/198.png,24_49_44_198,['yes'],"['The image shows a small, rectangular pool filled with blue water in the center of the backyard.', 'This indicates the presence of a water feature.']",imgsneurips/30.png
24,a backyard,45,A photo of a backyard in Indonesia,43,"What is the primary ground cover in the backyard (e.g., grass, pavement, dirt)?","['dirt', 'gravel', 'pavers', 'wood chips', 'artificial turf', 'grass', 'mulch', 'None of the above']",gs://stabdiff3m/backyard_24/45_a backyard in Indonesia/144.png,24_43_45_144,['grass'],"['The image shows a backyard with a green ground cover.', 'The ground cover appears to be short and uniform, resembling a lawn.', 'The texture and color suggest it is grass.']",imgsneurips/31.png
24,a backyard,128,A photo of a backyard in Mexico,46,"Is there a patio, deck, or other designated seating area?","['yes', 'no', 'None of the above']",gs://stabdiff3m/backyard_24/128_a backyard in Mexico/71.png,24_46_128_71,['yes'],"['The image shows a paved area surrounded by plants and trees.', 'This paved area can be considered a patio.']",imgsneurips/32.png
24,a backyard,46,A photo of a backyard in Colombia,50,"Are there any outdoor furniture items (e.g., chairs, tables, swing set)?","['yes', 'no', 'None of the above']",gs://fluxgen/backyard_24/46_a backyard in Colombia/174.png,24_50_46_174,['yes'],"['The image shows a wooden bench in the garden area.', 'A bench is a type of outdoor furniture.']",imgsneurips/33.png
24,a backyard,124,A photo of a backyard in Spain,45,Does the backyard appear to be fenced?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/backyard_24/124_a backyard in Spain/93.png,24_45_124_93,['yes'],"['The image shows walls and tall hedges surrounding the backyard.', 'Walls and hedges serve as a fence.']",imgsneurips/34.png
24,a backyard,42,A photo of a backyard in United Kingdom,48,"Are there any gardening features, such as flower beds, vegetable patches, or a greenhouse?","['yes', 'no', 'None of the above']",gs://stabdiff21/backyard_24/42_a backyard in United Kingdom/12.png,24_48_42_12,['yes'],"['The image shows a variety of plants, including flowers, shrubs, and small trees.', 'There are clearly defined areas with different types of plants, indicating flower beds.', ""While there are many plants, there isn't a dedicated area that looks like a vegetable patch."", 'There is no visible greenhouse structure in the image.']",imgsneurips/35.png
24,a backyard,45,A photo of a backyard in Indonesia,44,Are there any trees or large bushes present?,"['yes', 'no', 'None of the above']",gs://stabdiff21/backyard_24/45_a backyard in Indonesia/61.png,24_44_45_61,['yes'],"['The image shows a lush tropical setting with numerous trees, palms, and large bushes surrounding a pool and a thatched-roof structure.']",imgsneurips/36.png
24,a backyard,45,A photo of a backyard in Indonesia,49,"Does the backyard include a swimming pool, hot tub, or other water feature?","['yes', 'no', 'None of the above']",gs://stabdiff21/backyard_24/45_a backyard in Indonesia/144.png,24_49_45_144,['yes'],"['The image shows a pool of water in the backyard.', 'The pool appears to be designed for swimming or relaxation.']",imgsneurips/37.png
24,a backyard,126,A photo of a backyard in Egypt,50,"Are there any outdoor furniture items (e.g., chairs, tables, swing set)?","['yes', 'no', 'None of the above']",gs://fluxgen/backyard_24/126_a backyard in Egypt/42.png,24_50_126_42,['no'],"['The image shows a courtyard with a pool, palm trees, and some bushes.', 'There are no outdoor furniture items like chairs, tables, or a swing set visible in the image.']",imgsneurips/38.png
24,a backyard,47,A photo of a backyard in Japan,45,Does the backyard appear to be fenced?,"['yes', 'no', 'None of the above']",gs://stabdiff21/backyard_24/47_a backyard in Japan/26.png,24_45_47_26,['yes'],"['The image shows a wooden fence along the left side of the backyard.', 'The image also shows a wooden fence or wall on the right side of the backyard.']",imgsneurips/39.png
27,a car,140,A photo of a car in China,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://fluxgen/car_27/140_a car in China/53.png,27_55_140_53,['no'],"['The image shows a car parked on a street.', 'The car appears to be empty.', 'There are no visible people inside the car.']",imgsneurips/40.png
27,a car,49,A photo of a car in United Kingdom,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/car_27/49_a car in United Kingdom/30.png,27_54_49_30,['no'],"['The image shows a blue car parked on the street.', 'There are no visible attachments on the roof of the car.']",imgsneurips/41.png
27,a car,51,A photo of a car in Turkey,56,Is the car a convertible?,"['yes', 'no', 'None of the above']",gs://fluxgen/car_27/51_a car in Turkey/85.png,27_56_51_85,['no'],"['The car has a fixed roof.', 'Convertibles have retractable roofs.']",imgsneurips/42.png
27,a car,52,A photo of a car in Indonesia,53,"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['suv', 'sedan', 'truck', 'coupe', 'convertible', 'hatchback', 'station wagon', 'minivan', 'None of the above']",gs://stabdiff3m/car_27/52_a car in Indonesia/97.png,27_53_52_97,['hatchback'],"['The car has four doors and a fixed roof.', 'The rear cargo area appears to be integrated with the passenger compartment, and the rear window opens along with the trunk lid, suggesting a hatchback design.']",imgsneurips/43.png
27,a car,140,A photo of a car in China,53,"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['suv', 'sedan', 'truck', 'coupe', 'convertible', 'hatchback', 'station wagon', 'minivan', 'None of the above']",gs://fluxgen/car_27/140_a car in China/110.png,27_53_140_110,['sedan'],"['The car has four doors and a separate trunk compartment.', 'Its roofline slopes gently towards the rear.']",imgsneurips/44.png
27,a car,139,A photo of a car in South Korea,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/car_27/139_a car in South Korea/249.png,27_55_139_249,['no'],"[""1. Carefully examine the car's interior through the windshield."", '2. Determine if any individuals are visible inside the vehicle.']",imgsneurips/45.png
27,a car,53,A photo of a car in Colombia,55,Are there any people visible in the car?,"['yes', 'no', 'None of the above']",gs://fluxgen/car_27/53_a car in Colombia/79.png,27_55_53_79,['no'],"['The image shows a classic car parked on a cobblestone street.', ""The car's windows are clear, and the interior is visible."", 'There are no people inside the car.']",imgsneurips/46.png
27,a car,49,A photo of a car in United Kingdom,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://fluxgen/car_27/49_a car in United Kingdom/243.png,27_54_49_243,['no'],"['The image shows a Mercedes-Benz car parked on a street.', ""There are no visible attachments like a roof rack on the car's roof or any other part.""]",imgsneurips/47.png
27,a car,49,A photo of a car in United Kingdom,51,What is the color of the car?,"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",gs://fluxgen/car_27/49_a car in United Kingdom/60.png,27_51_49_60,['green'],"['The car appears to be a dark teal or turquoise color, which falls under the category of green.']",imgsneurips/48.png
27,a car,133,A photo of a car in Spain,54,Does the car have a roof rack or other attachments?,"['yes', 'no', 'None of the above']",gs://fluxgen/car_27/133_a car in Spain/191.png,27_54_133_191,['no'],"['The image shows a white Bugatti car.', 'The car does not have a roof rack or any other attachments.']",imgsneurips/49.png
13,a cooking pot,108,A photo of a cooking pot in Egypt,32,Are there any decorations or markings on the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/cooking pot_13/108_a cooking pot in Egypt/102.png,13_32_108_102,['no'],"['The image shows a large, dark-colored cooking pot. The pot appears to be made of metal, possibly cast iron or something similar.', 'The surface of the pot is relatively smooth and dark. There are no visible decorations, patterns, or markings on the pot itself.', 'The pot has two handles, one on each side, which appear to be made of metal and attached to the pot.', 'The focus of the image is on the contents of the pot and the wooden spoon stirring it, not the pot itself, but the visible portions of the pot show no decorations.']",imgsneurips/50.png
13,a cooking pot,112,A photo of a cooking pot in South Korea,29,"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['square', 'oval', 'round', 'rectangular', 'None of the above']",gs://stabdiff3m/cooking pot_13/112_a cooking pot in South Korea/245.png,13_29_112_245,['round'],"['The cooking pot has a circular opening and a circular base.', 'Therefore, the shape of the cooking pot is round.']",imgsneurips/51.png
13,a cooking pot,109,A photo of a cooking pot in Philippines,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff3m/cooking pot_13/109_a cooking pot in Philippines/4.png,13_34_109_4,['yes'],"['The image shows a large cooking pot with a lid slightly ajar.', 'The contents inside the pot appear to be a dark, possibly liquid or semi-liquid substance.']",imgsneurips/52.png
13,a cooking pot,114,A photo of a cooking pot in United States of America,32,Are there any decorations or markings on the cooking pot?,"['yes', 'no', 'None of the above']",gs://fluxgen/cooking pot_13/114_a cooking pot in United States of America/9.png,13_32_114_9,['no'],"['The image shows a cooking pot on a stove.', 'The cooking pot is orange in color.', 'There are no visible decorations or markings on the cooking pot.']",imgsneurips/53.png
13,a cooking pot,31,A photo of a cooking pot in Indonesia,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://stabdiff21/cooking pot_13/31_a cooking pot in Indonesia/86.png,13_34_31_86,['no'],"['The image shows a large, dark, metal cooking pot.', 'The inside of the pot appears dark, suggesting it may be empty.', 'However, the darkness could also be due to shadow or the material of the pot itself.', 'There is no definitive visual evidence of any contents inside the pot.']",imgsneurips/54.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5/cooking pot_13/30/779.png,13_34_30_779,['no'],"['The image shows a cooking pot.', 'The cooking pot appears to be empty.']",imgsneurips/55.png
13,a cooking pot,109,A photo of a cooking pot in Philippines,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://fluxgen/cooking pot_13/109_a cooking pot in Philippines/247.png,13_28_109_247,['cast iron'],"['The pot appears to be dark gray or black, heavy and thick-walled, with a somewhat rough texture.', 'These characteristics are consistent with cast iron cookware.']",imgsneurips/56.png
13,a cooking pot,33,A photo of a cooking pot in Japan,28,"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['stainless steel', 'ceramic', 'glass', 'cast iron', 'copper', 'aluminum', 'clay', 'None of the above']",gs://stabdiff21/cooking pot_13/33_a cooking pot in Japan/206.png,13_28_33_206,['cast iron'],"['The cooking pot has a dark gray color and a smooth surface.', 'The pot also has a metallic sheen, suggesting it is made of metal.', 'The pot appears to be quite thick and sturdy, which is common for cast iron cookware.']",imgsneurips/57.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,34,Are there any contents inside the cooking pot?,"['yes', 'no', 'None of the above']",gs://subgeodeanon_lim5/cooking pot_13/30/533.png,13_34_30_533,['yes'],"['The image shows a cooking pot.', 'There is a yellowish liquid inside the cooking pot.']",imgsneurips/58.png
13,a cooking pot,28,A photo of a cooking pot in United Kingdom,31,Are there any handles or grips on the cooking pot?,"['yes', 'no', 'None of the above']",gs://fluxgen/cooking pot_13/28_a cooking pot in United Kingdom/5.png,13_31_28_5,['yes'],"['The image shows a large, orange cooking pot on a stovetop.', 'The pot has a lid and two handles, one on each side.']",imgsneurips/59.png
10,a plate of food,88,A photo of a plate of food in Spain,15,Are there any recognizable brand-name products on the plate?,"['yes', 'no', 'None of the above']",gs://fluxgen/plate of food_10/88_a plate of food in Spain/0.png,10_15_88_0,['no'],"['The image shows a plate of food with what appears to be some kind of rolled and cooked meat or poultry, a sauce, cherry tomatoes, and herbs.', 'There are no visible labels or packaging on the plate to suggest the presence of any brand-name products.']",imgsneurips/60.png
10,a plate of food,92,A photo of a plate of food in Mexico,14,"Is the plate mostly full, about half full, or mostly empty?","['mostly full', 'about half full', 'mostly empty', 'None of the above']",gs://stabdiff3m/plate of food_10/92_a plate of food in Mexico/59.png,10_14_92_59,['mostly full'],"['The plate contains tortillas, a portion of seasoned meat or chicken, scrambled eggs, and lime wedges.', ""The food occupies a significant portion of the plate's surface area.""]",imgsneurips/61.png
10,a plate of food,95,A photo of a plate of food in China,14,"Is the plate mostly full, about half full, or mostly empty?","['mostly full', 'about half full', 'mostly empty', 'None of the above']",gs://fluxgen/plate of food_10/95_a plate of food in China/44.png,10_14_95_44,['about half full'],"[""The food occupies a significant portion of the plate's surface area."", 'There is still some empty space visible around the edges of the food.', 'The plate is neither overflowing nor sparsely filled.']",imgsneurips/62.png
10,a plate of food,89,A photo of a plate of food in Italy,15,Are there any recognizable brand-name products on the plate?,"['yes', 'no', 'None of the above']",gs://fluxgen/plate of food_10/89_a plate of food in Italy/92.png,10_15_89_92,['no'],"['The image shows a plate of pasta with a breaded cutlet, tomato sauce, and cherry tomatoes. There are no visible labels or branding on any of the items.', 'Therefore, there are no recognizable brand-name products on the plate.']",imgsneurips/63.png
10,a plate of food,19,A photo of a plate of food in Japan,16,Does the food appear to be homemade or from a restaurant/prepared meal?,"['homemade', 'restaurant/prepared meal', 'None of the above']",gs://stabdiff3m/plate of food_10/19_a plate of food in Japan/190.png,10_16_19_190,['restaurant/prepared meal'],"['The food is presented in a way that is more typical of a restaurant or prepared meal.', 'The components of the dish look professionally prepared and arranged.', 'The dish includes a variety of ingredients and a sauce, suggesting a level of culinary expertise often found in restaurant settings.']",imgsneurips/64.png
10,a plate of food,16,A photo of a plate of food in Turkey,19,Does the food appear fresh or processed?,"['fresh', 'processed', 'None of the above']",gs://stabdiff21/plate of food_10/16_a plate of food in Turkey/150.png,10_19_16_150,['fresh'],"['The image shows a variety of dishes, including rice, vegetables, bread, and what appears to be some kind of stew.', 'The vegetables and stew appear to be made with fresh ingredients.', 'The bread also appears to be freshly made.', 'There are no obvious signs of processed foods, such as pre-packaged meals or ingredients.']",imgsneurips/65.png
