concept_id,concept,prompt_id,prompt,question_id,question,attribute_values,local_imagepath,custom_id,answer,reasoning_steps,new_path
0,a bag,74,A photo of a bag in Mexico,74,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://stabdiff3m/bag_0/74_a bag in Mexico/206.png,0_74_74_206,['urban'],"['The image shows a colorful building with a woven bag leaning against it.', 'The presence of a building with painted walls and a small, partially opened door suggests a close proximity to other buildings.', 'The raised curb and paved area in front of the building indicate an urban street or walkway.']",imgsneurips/22.png
0,a bag,77,A photo of a bag in China,237,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://stabdiff3m/bag_0/77_a bag in China/40.png,0_237_77_40,['only manmade structures'],"['The image shows a person standing in front of a building.', 'There are no natural features visible in the background.', 'The background only contains manmade structures such as buildings and stairs.']",imgsneurips/23.png
0,a bag,74,A photo of a bag in Mexico,554,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://fluxgen/bag_0/74_a bag in Mexico/41.png,0_554_74_41,"['paved road', 'tiled / courtyard-style surface']","['The image shows a paved walkway or street, characterized by distinct pavers or stones fitted together.', 'This type of surface is commonly found in urban environments and is clearly man-made.']",imgsneurips/24.png
0,a bag,1,A photo of a bag in Nigeria,321,How visually organized does the indoor space appear?,"['organized', 'cluttered', 'minimal', 'None of the above']",gs://fluxgen/bag_0/1_a bag in Nigeria/72.png,0_321_1_72,['None of the above'],"['The question asks about the visual organization of the indoor space.', 'The image shows a handbag on a plain background. It does not provide any information about the indoor space.']",imgsneurips/25.png
0,a bag,1,A photo of a bag in Nigeria,321,How visually organized does the indoor space appear?,"['organized', 'cluttered', 'minimal', 'None of the above']",gs://fluxgen/bag_0/1_a bag in Nigeria/131.png,0_321_1_131,"['minimal', 'organized']","['The question asks about the visual organization of the indoor space.', 'The image shows a handbag against a plain background.', 'The background is simple and uncluttered, suggesting a minimal and organized space.']",imgsneurips/26.png
0,a bag,4,A photo of a bag in Colombia,164,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://fluxgen/bag_0/4_a bag in Colombia/245.png,0_164_4_245,['trees / forest'],"['The background of the image shows some out-of-focus greenery, which appears to be a plant or small tree.', 'There are also some metal bars visible, likely a fence or railing.']",imgsneurips/27.png
0,a bag,3,A photo of a bag in Indonesia,3,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://fluxgen/bag_0/3_a bag in Indonesia/110.png,0_3_3_110,['suburban'],"['The image shows a paved walkway, suggesting some level of development.', 'There are buildings on either side of the walkway, indicating a higher population density than a rural area.', 'The buildings appear to be residential, possibly townhouses or apartments.', 'There is greenery present, but it is in the form of potted plants and landscaping, not open fields or forests.', 'The overall impression is of a developed area with a moderate population density.']",imgsneurips/28.png
0,a bag,73,A photo of a bag in Philippines,393,How visually organized does the indoor space appear?,"['organized', 'cluttered', 'minimal', 'None of the above']",gs://subgeodeanon_lim5/bag_0/73/196.png,0_393_73_196,['None of the above'],"['The image shows a backpack placed on a wooden chair.', 'The focus is on the backpack, and the background is not clearly visible.', 'We cannot determine the organization of the indoor space based on the given image.']",imgsneurips/29.png
24,a backyard,44,A photo of a backyard in Turkey,44,What type of environment is visible?,"['residential', 'commercial / public', 'industrial', 'solid / empty background', 'None of the above']",gs://stabdiff21/backyard_24/44_a backyard in Turkey/198.png,24_44_44_198,['residential'],"['The image shows a courtyard with a small pool, plants, and seating areas.', 'The presence of windows and what appears to be a door suggests that the courtyard is surrounded by a building or buildings.', 'The overall layout and features indicate a private or semi-private space rather than a public or industrial one.']",imgsneurips/30.png
24,a backyard,45,A photo of a backyard in Indonesia,525,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://stabdiff3m/backyard_24/45_a backyard in Indonesia/144.png,24_525_45_144,"['natural ground / grass (wild, non-constructed)']","['The image shows a house with a garden.', 'There is a wooden deck with furniture.', 'The ground is covered with grass.', 'There is no paved road, dirt/gravel road, or tiled surface visible.']",imgsneurips/31.png
24,a backyard,128,A photo of a backyard in Mexico,608,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://stabdiff3m/backyard_24/128_a backyard in Mexico/71.png,24_608_128_71,['tiled / courtyard-style surface'],"['The image shows a backyard area.', 'The ground is covered with large tiles, forming a courtyard-style surface.']",imgsneurips/32.png
24,a backyard,46,A photo of a backyard in Colombia,366,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['crowded', 'moderately busy', 'quiet / empty', 'None of the above']",gs://fluxgen/backyard_24/46_a backyard in Colombia/174.png,24_366_46_174,['quiet / empty'],"['The image shows a garden with a house and a bench.', 'There are no people or vehicles visible in the image.', 'The scene appears peaceful and undisturbed.']",imgsneurips/33.png
24,a backyard,124,A photo of a backyard in Spain,124,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://stabdiff3m/backyard_24/124_a backyard in Spain/93.png,24_124_124_93,['suburban'],"['The image shows a backyard with a pool, grass, and some plants.', 'There is a house visible in the background.', 'The overall setting appears to be residential.', 'The presence of a private pool and backyard suggests a single-family home.', 'The proximity of the house to the neighboring property, visible through the plants, suggests a higher density of housing than typically found in rural areas.', 'The image does not show any high-rise buildings or dense urban development.']",imgsneurips/34.png
24,a backyard,42,A photo of a backyard in United Kingdom,202,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://stabdiff21/backyard_24/42_a backyard in United Kingdom/12.png,24_202_42_12,['trees / forest'],"['The image shows a backyard garden scene.', 'There are trees and shrubs visible in the background, beyond the fence.']",imgsneurips/35.png
24,a backyard,45,A photo of a backyard in Indonesia,45,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://stabdiff21/backyard_24/45_a backyard in Indonesia/61.png,24_45_45_61,['rural'],"['The image shows a lush, tropical environment with a variety of plants and trees.', 'There is a small pool or pond, and a thatched-roof structure.', 'The scene appears to be outdoors and relatively secluded.', 'There are no signs of high-density housing or commercial buildings.']",imgsneurips/36.png
24,a backyard,45,A photo of a backyard in Indonesia,45,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://stabdiff21/backyard_24/45_a backyard in Indonesia/144.png,24_45_45_144,['rural'],"['The image shows a building with a natural, thatched roof and wooden structure.', 'The building is surrounded by lush vegetation, including palm trees and other tropical plants.', 'There is a small pool or pond in the foreground.', 'The overall scene evokes a sense of nature and tranquility.', 'These characteristics are more commonly associated with rural settings.']",imgsneurips/37.png
24,a backyard,126,A photo of a backyard in Egypt,286,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://fluxgen/backyard_24/126_a backyard in Egypt/42.png,24_286_126_42,"['only manmade structures', 'trees / forest']","['The image shows a courtyard with a pool, surrounded by buildings and palm trees.', 'There are no natural features like mountains, hills, water bodies, or open grounds visible in the background.', 'Only manmade structures and trees are visible.']",imgsneurips/38.png
24,a backyard,47,A photo of a backyard in Japan,207,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://stabdiff21/backyard_24/47_a backyard in Japan/26.png,24_207_47_26,['trees / forest'],"['The image shows a backyard garden with a wooden fence, a lawn, and some plants. There are some trees visible in the background, as well as some buildings with tiled roofs.', 'The question asks about natural features visible in the background. The trees are a natural feature, but the buildings are manmade structures.']",imgsneurips/39.png
27,a car,140,A photo of a car in China,620,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://fluxgen/car_27/140_a car in China/53.png,27_620_140_53,['paved road'],"['The image shows a black Mercedes car parked on a wet surface.', 'The surface appears smooth and dark gray, consistent with asphalt.', ""There are visible markings on the surface, suggesting it's a road.""]",imgsneurips/40.png
27,a car,49,A photo of a car in United Kingdom,369,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['crowded', 'moderately busy', 'quiet / empty', 'None of the above']",gs://stabdiff3m/car_27/49_a car in United Kingdom/30.png,27_369_49_30,['quiet / empty'],"['The image shows a street scene with a few parked cars and no visible people.', 'There are no signs of significant activity or crowds.']",imgsneurips/41.png
27,a car,51,A photo of a car in Turkey,531,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://fluxgen/car_27/51_a car in Turkey/85.png,27_531_51_85,['tiled / courtyard-style surface'],"['The image shows a cobblestone street where the car is parked.', 'Cobblestone streets are made of stones fitted together, creating a tiled surface.']",imgsneurips/42.png
27,a car,52,A photo of a car in Indonesia,52,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://stabdiff3m/car_27/52_a car in Indonesia/97.png,27_52_52_97,['suburban'],"['The image shows a car parked near some trees and bushes.', 'There is a sign barely visible in the background.', 'The overall scene appears to be a less densely populated area.']",imgsneurips/43.png
27,a car,140,A photo of a car in China,620,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://fluxgen/car_27/140_a car in China/110.png,27_620_140_110,['paved road'],"['The image shows a car parked on a smooth, gray surface.', 'The surface appears to be asphalt or concrete, typical of roads in urban areas.', 'There are reflections visible on the surface, indicating a smooth and likely wet material.']",imgsneurips/44.png
27,a car,139,A photo of a car in South Korea,299,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://stabdiff3m/car_27/139_a car in South Korea/249.png,27_299_139_249,['trees / forest'],"['The image shows a car in an urban setting.', 'There are trees visible behind the car.', 'There are no mountains, hills, water bodies, or open ground/fields visible in the image.']",imgsneurips/45.png
27,a car,53,A photo of a car in Colombia,373,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['crowded', 'moderately busy', 'quiet / empty', 'None of the above']",gs://fluxgen/car_27/53_a car in Colombia/79.png,27_373_53_79,['moderately busy'],"['The image shows a street with a few cars parked and no people visible.', 'The street does not appear crowded.', 'The street does not appear empty either.']",imgsneurips/46.png
27,a car,49,A photo of a car in United Kingdom,49,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://fluxgen/car_27/49_a car in United Kingdom/243.png,27_49_49_243,['urban'],"['The image shows a car parked on a street lined with brick buildings.', 'The presence of buildings and a paved road suggests that the setting is not rural.', 'The buildings appear to be residential, and the street is relatively narrow, which are characteristics of a suburban or urban setting.', 'The close proximity of the buildings and the lack of visible greenery suggest an urban setting rather than suburban.']",imgsneurips/47.png
27,a car,49,A photo of a car in United Kingdom,49,"Does the imagery suggest a rural, suburban, or urban setting?","['urban', 'suburban', 'rural', 'None of the above']",gs://fluxgen/car_27/49_a car in United Kingdom/60.png,27_49_49_60,"['suburban', 'rural']","['The image shows a car parked on a paved road lined with trees and hedges.', 'There are no buildings or other urban infrastructure visible.', 'The setting appears to be outside of a city or town, suggesting a non-urban environment.', 'The presence of landscaping and trees suggests a more natural setting.', 'The road appears to be a smaller road, not a major highway, which is more common in rural or suburban areas.']",imgsneurips/48.png
27,a car,133,A photo of a car in Spain,293,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://fluxgen/car_27/133_a car in Spain/191.png,27_293_133_191,['only manmade structures'],"['The image shows a city street with buildings on both sides.', 'There are no natural features like trees, mountains, water bodies, or open fields visible in the image.']",imgsneurips/49.png
13,a cooking pot,108,A photo of a cooking pot in Egypt,268,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://stabdiff3m/cooking pot_13/108_a cooking pot in Egypt/102.png,13_268_108_102,"['open ground / fields', 'only manmade structures']","['The background of the image appears to be a sandy area.', 'There are some structures visible in the background, which seem to be made of sand or clay.', 'There are no natural features like trees, mountains, or water bodies visible.']",imgsneurips/50.png
13,a cooking pot,112,A photo of a cooking pot in South Korea,432,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['crowded', 'moderately busy', 'quiet / empty', 'None of the above']",gs://stabdiff3m/cooking pot_13/112_a cooking pot in South Korea/245.png,13_432_112_245,['quiet / empty'],"['The image shows a large pot on a stand, with steam coming out of it.', 'There are some objects in the background, including a red bucket with writing on it, a rock, and some other cooking equipment.', 'There are no people or vehicles visible in the image.', ""The scene appears to be a quiet outdoor setting, possibly a market stall or a street vendor's setup.""]",imgsneurips/51.png
13,a cooking pot,109,A photo of a cooking pot in Philippines,429,"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['crowded', 'moderately busy', 'quiet / empty', 'None of the above']",gs://stabdiff3m/cooking pot_13/109_a cooking pot in Philippines/4.png,13_429_109_4,['quiet / empty'],"['The image shows a large pot with a lid on a wooden surface. There are some other objects in the background, including a white bucket, a blue container, and some bags. There are no people or vehicles visible in the image.', 'The scene appears to be a simple outdoor setting with some household items. There are no signs of significant human activity or movement.']",imgsneurips/52.png
13,a cooking pot,114,A photo of a cooking pot in United States of America,434,How visually organized does the indoor space appear?,"['organized', 'cluttered', 'minimal', 'None of the above']",gs://fluxgen/cooking pot_13/114_a cooking pot in United States of America/9.png,13_434_114_9,"['organized', 'minimal']","['The image shows a kitchen counter with a few items on it.', ""There's a cutting board, a pitcher, a jar of vegetables, a pot on the stove, and a trivet."", ""The items are neatly arranged and there's ample empty space on the counter."", 'The overall impression is one of order and cleanliness.']",imgsneurips/53.png
13,a cooking pot,31,A photo of a cooking pot in Indonesia,511,What type of road or terrain is visible?,"['paved road', 'dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)', 'tiled / courtyard-style surface', 'None of the above']",gs://stabdiff21/cooking pot_13/31_a cooking pot in Indonesia/86.png,13_511_31_86,['dirt / gravel road (man-made)'],"['The image shows a dirt/gravel surface.', 'The surface appears to be man-made, possibly used as a courtyard or workspace.', 'There are no tiles or paving stones visible.', 'The surface is not covered in grass or natural vegetation.']",imgsneurips/54.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,350,How visually organized does the indoor space appear?,"['organized', 'cluttered', 'minimal', 'None of the above']",gs://subgeodeanon_lim5/cooking pot_13/30/779.png,13_350_30_779,"['organized', 'minimal']","['The image shows a cooking pot placed on a clean, white table.', 'There are a few other items visible, such as a bowl with an egg yolk and a knife, but the overall impression is one of order and tidiness.']",imgsneurips/55.png
13,a cooking pot,109,A photo of a cooking pot in Philippines,269,"What natural features, if any, are visible in the background of the image?","['trees / forest', 'mountains / hills', 'waterbody', 'open ground / fields', 'only manmade structures', 'None of the above']",gs://fluxgen/cooking pot_13/109_a cooking pot in Philippines/247.png,13_269_109_247,['None of the above'],"['The background is dark and out of focus.', 'No natural features are clearly visible.', 'The background appears to be shaded.']",imgsneurips/56.png
13,a cooking pot,33,A photo of a cooking pot in Japan,193,What main elements are visible in the background?,"['walls and windows', 'furniture', 'appliances', 'electronic equipment', 'empty / bare walls', 'None of the above']",gs://stabdiff21/cooking pot_13/33_a cooking pot in Japan/206.png,13_193_33_206,['furniture'],"['The image shows a wooden structure resembling a shelf or cabinet.', 'There are no walls, windows, appliances, or electronic equipment visible.']",imgsneurips/57.png
13,a cooking pot,30,A photo of a cooking pot in Turkey,350,How visually organized does the indoor space appear?,"['organized', 'cluttered', 'minimal', 'None of the above']",gs://subgeodeanon_lim5/cooking pot_13/30/533.png,13_350_30_533,"['organized', 'minimal']","['The image shows a large pot with liquid inside, sitting on a countertop.', 'The countertop is clean and clear, and the wall behind it is simple and uncluttered.', 'There are no other items visible in the image, suggesting a tidy and organized space.']",imgsneurips/58.png
13,a cooking pot,28,A photo of a cooking pot in United Kingdom,188,What main elements are visible in the background?,"['walls and windows', 'furniture', 'appliances', 'electronic equipment', 'empty / bare walls', 'None of the above']",gs://fluxgen/cooking pot_13/28_a cooking pot in United Kingdom/5.png,13_188_28_5,"['walls and windows', 'furniture']","['Step 1: Analyze the background of the image.', 'Step 2: Identify the visible elements.', 'Step 3: Match the visible elements with the provided categories.']",imgsneurips/59.png
10,a plate of food,88,A photo of a plate of food in Spain,248,What main elements are visible in the background?,"['walls and windows', 'furniture', 'appliances', 'electronic equipment', 'empty / bare walls', 'None of the above']",gs://fluxgen/plate of food_10/88_a plate of food in Spain/0.png,10_248_88_0,"['furniture', 'walls and windows']","['The image shows a table with food and drinks on it. The background is slightly blurred, but we can see a wooden table, a white vase, and a window.', 'The table is a piece of furniture. The vase is also a piece of furniture. The window is part of the walls and windows category.']",imgsneurips/60.png
10,a plate of food,92,A photo of a plate of food in Mexico,92,What type of environment is visible?,"['residential', 'commercial / public', 'industrial', 'solid / empty background', 'None of the above']",gs://stabdiff3m/plate of food_10/92_a plate of food in Mexico/59.png,10_92_92_59,['commercial / public'],"['The image shows a table with food and drinks on it. The table appears to be made of wood. There are other dishes visible in the background.', 'The setting suggests a restaurant or a similar food serving establishment.']",imgsneurips/61.png
