question,1.20214E+11,gemini,5883a935c0c9a10001df6345,61687ebcd2a35ffb762d1928,mohana,all_answers,majority,type,correct
Does the house have a chimney?,['yes'],['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Concrete (concrete, stucco)', 'Brick']","['Concrete (concrete, stucco)']","['Concrete (concrete, stucco)', 'Stone']","['Concrete (concrete, stucco)']",['Adobe'],"['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']","['Concrete (concrete, stucco)']",object,1
"What natural features, if any, are visible in the background of the image?",['None of the above'],['only manmade structures'],['None of the above'],['only manmade structures'],['None of the above'],,['None of the above'],background,0
Are there any balconies or porches visible?,['yes'],['yes'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,0
"What natural features, if any, are visible in the background of the image?",['trees / forest'],['only manmade structures'],['None of the above'],['trees / forest'],['None of the above'],,['trees / forest'],background,0
How is the area immediately surrounding the house landscaped?,"['garden', 'lawn']","['lawn', 'paved']","['garden', 'lawn', 'paved']","['lawn', 'paved']",['paved'],"['garden', 'lawn', 'water feature', 'rocks', 'gravel', 'paved', 'mulch', 'None of the above']","['garden', 'lawn', 'paved']",object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
"What is the primary material used for the exterior walls of the house (e.g., brick, wood, stucco)?","['Concrete (concrete, stucco)']","['Concrete (concrete, stucco)']","['Brick', 'Concrete (concrete, stucco)']","['Concrete (concrete, stucco)']","['Concrete (concrete, stucco)']","['Brick', 'Stone', 'Adobe', 'Wood', 'Siding (vinyl siding, fiber cement siding)', 'Concrete (concrete, stucco)', 'Metal', 'None of these']","['Concrete (concrete, stucco)']",object,1
"What natural features, if any, are visible in the background of the image?",['trees / forest'],['trees / forest'],['trees / forest'],['trees / forest'],['trees / forest'],,['trees / forest'],background,1
What type of road or terrain is visible?,['paved road'],['paved road'],['paved road'],['paved road'],['paved road'],,['paved road'],background,1
Is the storefront part of a larger building or a standalone structure?,['larger building'],['larger building'],['larger building'],['larger building'],['standalone structure'],"['larger building', 'standalone structure', 'None of the above']",['larger building'],object,1
Are there any plants near the entrance?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['urban'],['urban'],['urban'],['urban'],['urban'],,['urban'],background,1
What type of road or terrain is visible?,['paved road'],['paved road'],['paved road'],['paved road'],['paved road'],,['paved road'],background,1
"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?",['grocery store'],['grocery store'],['grocery store'],['restaurant'],['grocery store'],"['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",['grocery store'],object,1
What type of floor or ground is visible?,['tiled floor'],['concrete floor'],['tiled floor'],['concrete floor'],"['concrete floor', 'tiled floor']",,['tiled floor'],background,0
What primary material is used in the storefront's construction?,['Glass'],"['Glass', 'Metal']",['Metal'],['Glass'],['Metal'],"['Brick', 'Stone', 'Wood', 'Vinyl', 'Glass', 'Concrete (stucco, concrete)', 'Metal', 'None of these']","['Glass', 'Metal']",object,1
What main elements are visible in the background?,['appliances'],['walls and windows'],"['electronic equipment', 'appliances']",['electronic equipment'],['electronic equipment'],,['appliances'],background,0
What primary material is used in the storefront's construction?,"['Concrete (stucco, concrete)']","['Concrete (concrete, stucco)']","['Concrete (stucco, concrete)', 'Brick']","['Concrete (stucco, concrete)']","['Concrete (stucco, concrete)']","['Brick', 'Stone', 'Wood', 'Vinyl', 'Glass', 'Concrete (stucco, concrete)', 'Metal', 'None of these']","['Concrete (stucco, concrete)']",object,0
Is there an awning present?,['yes'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
What kind of signage is used - traditional hand-painted or modern illuminated?,"['Traditional (hand-painted, chalkboard)']","['Traditional (hand-painted, chalkboard)']","['Traditional (hand-painted, chalkboard)']","['Traditional (hand-painted, chalkboard)']","['Traditional (hand-painted, chalkboard)']","['Modern (illuminated, vinyl lettering, printed posters)', 'Traditional (hand-painted, chalkboard)', 'None of these']","['Traditional (hand-painted, chalkboard)']",object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['suburban'],['urban'],['urban'],['rural'],['suburban'],,['suburban'],background,0
Is there an awning present?,['no'],['yes'],['yes'],['no'],['yes'],"['yes', 'no', 'None of the above']",['no'],object,0
"Does the imagery suggest a rural, suburban, or urban setting?",['suburban'],['urban'],['urban'],['rural'],['suburban'],,['suburban'],background,0
What type of floor or ground is visible?,"['wooden floor', 'tiled floor']",['wooden floor'],['tiled floor'],['concrete floor'],"['concrete floor', 'wooden floor']",,['tiled floor'],background,0
"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?","['gift shop', 'furniture store']","['gift shop', 'grocery store']","['coffee shop', 'gift shop']",['bookstore'],"['gift shop', 'art gallery']","['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",['gift shop'],object,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['trees / forest'],['None of the above'],['only manmade structures'],['trees / forest'],,['only manmade structures'],background,0
"What type of business does the storefront represent (e.g., restaurant, clothing store, bookstore)?",['clothing store'],['clothing store'],['clothing store'],['clothing store'],['clothing store'],"['restaurant', 'clothing store', 'bookstore', 'grocery store', 'pharmacy', 'bank', 'coffee shop', 'bar', 'salon', 'gift shop', 'electronics store', 'furniture store', 'jewelry store', 'art gallery', 'music store', 'sporting goods store', 'hardware store', 'pet store', 'toy store', 'dry cleaner', 'real estate office', 'travel agency', 'movie theater', 'gym', 'hotel', 'None of the above']",['clothing store'],object,1
What type of road or terrain is visible?,['paved road'],['None of the above'],['paved road'],['paved road'],['None of the above'],,['paved road'],background,0
What color is the bag?,['brown'],['brown'],['brown'],['brown'],['brown'],"['black', 'white', 'red', 'blue', 'green', 'yellow', 'orange', 'purple', 'pink', 'brown', 'gray', 'beige', 'multicolored', 'None of the above']",['brown'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?","['crowded', 'moderately busy']",['crowded'],['crowded'],['crowded'],['crowded'],,['crowded'],background,1
"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?","[""on someone's shoulder""]","[""on someone's shoulder""]","[""on someone's shoulder""]","[""on someone's shoulder""]","[""on someone's shoulder""]","[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']","[""on someone's shoulder""]",object,1
What type of road or terrain is visible?,['paved road'],['paved road'],['paved road'],['None of the above'],['None of the above'],,['paved road'],background,1
"What type of bag is shown (e.g., handbag, backpack, tote, duffel bag)?","['Handbag (handbag, crossbody bag, clutch)', 'Duffel Bag (duffel bag, gym bag, travel bag)', 'Tote Bag (tote bag, shopping bag, gift bag)']","['Tote Bag (tote bag, shopping bag, gift bag)']","['Tote Bag (tote bag, shopping bag, gift bag)']","['Tote Bag (tote bag, shopping bag, gift bag)']","['Tote Bag (tote bag, shopping bag, gift bag)']","['Tote Bag (tote bag, shopping bag, gift bag)', 'Backpack', 'Handbag (handbag, crossbody bag, clutch)', 'Duffel Bag (duffel bag, gym bag, travel bag)', 'Satchel/Briefcase (briefcase, laptop bag, messenger bag)', 'Drawstring Bag (drawstring bag)', 'Plastic Bag', 'Waist Bag', 'Paper Bag', 'None of these']","['Tote Bag (tote bag, shopping bag, gift bag)']",object,1
What type of floor or ground is visible?,['tiled floor'],['tiled floor'],['tiled floor'],['tiled floor'],['tiled floor'],,['tiled floor'],background,1
"What is the context in which the bag is shown (e.g., on someone's shoulder, on the ground, in a store display)?",['on the ground'],['on the ground'],['on the ground'],['on the ground'],['on the ground'],"[""in someone's hand"", 'on a conveyor belt', 'packed in a suitcase', 'on the ground', 'on a table or counter', 'in a closet or wardrobe', ""on someone's shoulder"", 'in a store display', 'hanging on a rack or hook', 'None of the above']",['on the ground'],object,1
Are there any logos or brand markings visible on the bag?,['yes'],['no'],['no'],['yes'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,0
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],,['only manmade structures'],background,1
What type of road or terrain is visible?,['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['paved road'],['tiled / courtyard-style surface'],,['tiled / courtyard-style surface'],background,1
Are there any logos or brand markings visible on the bag?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
What type of road or terrain is visible?,"['paved road', 'tiled / courtyard-style surface']",['paved road'],['paved road'],['paved road'],['paved road'],,['paved road'],background,1
Are there any logos or brand markings visible on the bag?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
Are there any logos or brand markings visible on the bag?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",,"['natural ground / grass (wild, non-constructed)']",background,1
"What material is the bag made of (e.g., leather, canvas, plastic)?","['Leather (leather, suede, faux leather)', 'Jute (wicker, straw, jute, burlap)']","['Jute (wicker, straw, jute, burlap)']","['Fabric (canvas, denim, nylon)']","['Leather (leather, suede, faux leather)', 'Jute (wicker, straw, jute, burlap)']","['Leather (leather, suede, faux leather)', 'Jute (wicker, straw, jute, burlap)']","['Fabric (canvas, denim, nylon)', 'Leather (leather, suede, faux leather)', 'Jute (wicker, straw, jute, burlap)', 'Plastic', 'Paper', 'None of these']","['Leather (leather, suede, faux leather)', 'Jute (wicker, straw, jute, burlap)']",object,1
"What is the approximate shape of the bag (e.g., square, rectangular, round)?","['rectangular', 'square']",['rectangular'],['square'],['rectangular'],['rectangular'],"['crescent', 'round', 'triangular', 'square', 'rectangular', 'trapezoidal', 'None of the above']",['rectangular'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",['urban'],['urban'],['urban'],['urban'],,['urban'],background,1
"Are there any signs of children's play equipment (e.g., swing set, sandbox)?",['yes'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
Are there any trees or large bushes present?,['yes'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",['urban'],['suburban'],['suburban'],['suburban'],,['suburban'],background,0
"What is the primary ground cover in the backyard (e.g., grass, pavement, dirt)?","['pavers', 'mulch', 'gravel']",['pavers'],['pavers'],['pavers'],['pavers'],"['dirt', 'gravel', 'pavers', 'wood chips', 'artificial turf', 'grass', 'mulch', 'None of the above']",['pavers'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?","['rural', 'suburban']",['suburban'],['rural'],['suburban'],['suburban'],,"['rural', 'suburban']",background,1
"What natural features, if any, are visible in the background of the image?",['trees / forest'],"['trees / forest', 'only manmade structures']","['trees / forest', 'only manmade structures']",['open ground / fields'],['trees / forest'],,['trees / forest'],background,1
"Is there a patio, deck, or other designated seating area?",['yes'],['yes'],['yes'],['no'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,1
Does the backyard appear to be fenced?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['suburban'],['suburban'],['suburban'],['rural'],['suburban'],,['suburban'],background,1
Does the backyard appear to be fenced?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"What natural features, if any, are visible in the background of the image?",['trees / forest'],['trees / forest'],['trees / forest'],"['open ground / fields', 'trees / forest']",['trees / forest'],,['trees / forest'],background,1
What type of road or terrain is visible?,"['tiled / courtyard-style surface', 'paved road', 'dirt / gravel road (man-made)']",['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],,['tiled / courtyard-style surface'],background,1
Are there any trees or large bushes present?,['yes'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
"Is there a patio, deck, or other designated seating area?",['yes'],['yes'],['yes'],['no'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,1
"What is the primary ground cover in the backyard (e.g., grass, pavement, dirt)?","['gravel', 'wood chips', 'pavers']",['gravel'],['gravel'],['artificial turf'],['gravel'],"['dirt', 'gravel', 'pavers', 'wood chips', 'artificial turf', 'grass', 'mulch', 'None of the above']",['gravel'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
"What natural features, if any, are visible in the background of the image?",['trees / forest'],['trees / forest'],"['trees / forest', 'only manmade structures']",['trees / forest'],['trees / forest'],,['trees / forest'],background,1
"Are there any outdoor furniture items (e.g., chairs, tables, swing set)?",['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of road or terrain is visible?,['paved road'],['paved road'],['paved road'],['paved road'],['paved road'],,['paved road'],background,1
What is the color of the car?,['blue'],['blue'],['blue'],['blue'],['blue'],"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",['blue'],object,1
What is the color of the car?,['red'],['red'],['red'],['red'],['red'],"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",['red'],object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['suburban'],['urban'],['urban'],['suburban'],['suburban'],,['suburban'],background,0
"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['Sedan (sedan, suv, hatchback, station wagon)', 'Coupe (coupe, convertible)']",['None of the above'],['None of these'],"['Sedan (sedan, suv, hatchback, station wagon)']",['None of these'],"['Sedan (sedan, suv, hatchback, station wagon)', 'Truck (truck, minivan)', 'Coupe (coupe, convertible)', 'None of these']","['Sedan (sedan, suv, hatchback, station wagon)']",object,0
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'urban']",['urban'],['urban'],['suburban'],['suburban'],,['suburban'],background,0
Is the car a convertible?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],,['only manmade structures'],background,1
Does the car have a roof rack or other attachments?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],['only manmade structures'],,['only manmade structures'],background,1
Are there any people visible in the car?,['no'],['no'],['no'],['yes'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,1
What type of road or terrain is visible?,['paved road'],['paved road'],['paved road'],['paved road'],['paved road'],,['paved road'],background,1
"What type of car is visible (e.g., sedan, coupe, SUV, truck)?","['Sedan (sedan, suv, hatchback, station wagon)']","['Sedan (sedan, suv, hatchback, station wagon)']","['Sedan (sedan, suv, hatchback, station wagon)']","['Sedan (sedan, suv, hatchback, station wagon)']","['Sedan (sedan, suv, hatchback, station wagon)']","['Sedan (sedan, suv, hatchback, station wagon)', 'Truck (truck, minivan)', 'Coupe (coupe, convertible)', 'None of these']","['Sedan (sedan, suv, hatchback, station wagon)']",object,1
What is the color of the car?,['blue'],['silver'],"['gray', 'silver']",['blue'],['gray'],"['pink', 'gray', 'silver', 'yellow', 'black', 'brown', 'blue', 'purple', 'red', 'green', 'gold', 'white', 'beige', 'orange', 'None of the above']",['blue'],object,0
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'rural']",['rural'],['rural'],['rural'],['rural'],,['rural'],background,1
Are there any people visible in the car?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['moderately busy'],['moderately busy'],['quiet / empty'],['quiet / empty'],['quiet / empty'],,['quiet / empty'],background,0
"What type of wheels does the car have (e.g., spoked, alloy)?",['Carbon Fiber (carbon fiber wheels)'],"['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']",['Spoked (spoked wheels)'],"['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)', 'Carbon Fiber (carbon fiber wheels)', 'None of these']","['Metal (aluminum wheels, steel wheels, alloy wheels)', 'Spoked (spoked wheels)']",object,1
"Does the imagery suggest a rural, suburban, or urban setting?",['urban'],['urban'],['urban'],['urban'],['suburban'],,['urban'],background,1
What type of environment is visible?,"['residential', 'commercial / public']",['commercial / public'],['residential'],['residential'],['commercial / public'],,"['residential', 'commercial / public']",background,1
Are there any decorations or markings on the cooking pot?,['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
"What natural features, if any, are visible in the background of the image?",['only manmade structures'],['only manmade structures'],['None of the above'],['open ground / fields'],['None of the above'],,['None of the above'],background,0
Are there any handles or grips on the cooking pot?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of road or terrain is visible?,"['dirt / gravel road (man-made)', 'natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",,['dirt / gravel road (man-made)'],background,0
"Is the cooking pot on a heat source (e.g., stovetop, fire)?",['no'],['no'],['no'],['no'],['no'],"['yes', 'no', 'None of the above']",['no'],object,1
What type of road or terrain is visible?,"['paved road', 'tiled / courtyard-style surface']",['tiled / courtyard-style surface'],['tiled / courtyard-style surface'],['paved road'],['None of the above'],,['tiled / courtyard-style surface'],background,1
Are there any handles or grips on the cooking pot?,['yes'],['yes'],['yes'],['yes'],['no'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of environment is visible?,['residential'],['residential'],['residential'],['residential'],['residential'],,['residential'],background,1
"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['round', 'oval']",['round'],['round'],['round'],['round'],"['square', 'oval', 'round', 'rectangular', 'None of the above']",['round'],object,1
"What natural features, if any, are visible in the background of the image?",['open ground / fields'],['open ground / fields'],['mountains / hills'],['open ground / fields'],['open ground / fields'],,['open ground / fields'],background,1
"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['Clay', 'Ceramic']",['Clay'],['Clay'],['Ceramic'],['Clay'],"['Metal (stainless steel, cast iron, copper, aluminum)', 'Ceramic', 'Clay', 'Glass', 'None of these']","['Clay', 'Ceramic']",object,1
"What is the shape of the cooking pot (e.g., round, oval, rectangular)?","['oval', 'round']",['round'],['round'],['round'],['round'],"['square', 'oval', 'round', 'rectangular', 'None of the above']",['round'],object,1
"How busy does the background appear, crowded (many people, vehicles, signs of activity), moderately busy (some human activity), quiet / empty (few or no people or vehicles)?",['moderately busy'],['moderately busy'],['quiet / empty'],['moderately busy'],['None of the above'],,['moderately busy'],background,1
What main elements are visible in the background?,['walls and windows'],['walls and windows'],['empty / bare walls'],['None of the above'],['empty / bare walls'],,"['walls and windows', 'empty / bare walls']",background,1
Are there any contents inside the cooking pot?,['yes'],['yes'],['yes'],['yes'],['yes'],"['yes', 'no', 'None of the above']",['yes'],object,1
What type of road or terrain is visible?,"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",['dirt / gravel road (man-made)'],"['natural ground / grass (wild, non-constructed)']","['natural ground / grass (wild, non-constructed)']",,"['natural ground / grass (wild, non-constructed)']",background,1
Are there any contents inside the cooking pot?,['yes'],['yes'],['no'],['yes'],['None of the above'],"['yes', 'no', 'None of the above']",['yes'],object,1
"What material is the cooking pot made of (e.g., metal, ceramic, clay)?","['Ceramic', 'Metal (stainless steel, cast iron, copper, aluminum)', 'Clay']","['Clay', 'Ceramic']","['Metal (stainless steel, cast iron, copper, aluminum)']","['Metal (stainless steel, cast iron, copper, aluminum)']","['Ceramic', 'Clay']","['Metal (stainless steel, cast iron, copper, aluminum)', 'Ceramic', 'Clay', 'Glass', 'None of these']","['Metal (stainless steel, cast iron, copper, aluminum)']",object,0
"Does the imagery suggest a rural, suburban, or urban setting?","['suburban', 'rural']",['rural'],['rural'],['rural'],['None of the above'],,['rural'],background,1
What type of environment is visible?,['commercial / public'],['residential'],['residential'],['residential'],"['residential', 'commercial / public']",,['residential'],background,1
Does the food appear to be homemade or from a restaurant/prepared meal?,['restaurant/prepared meal'],['homemade'],['homemade'],['homemade'],"['homemade', 'restaurant/prepared meal']","['homemade', 'restaurant/prepared meal', 'None of the above']",['homemade'],object,1
How visually organized does the indoor space appear?,['organized'],['None of the above'],['organized'],['None of the above'],['minimal'],,['organized'],background,0
"Is the plate mostly full, about half full, or mostly empty?",['mostly full'],['mostly full'],['mostly full'],['mostly full'],['mostly full'],"['mostly full', 'about half full', 'mostly empty', 'None of the above']",['mostly full'],object,1
What type of environment is visible?,['commercial / public'],['commercial / public'],['solid / empty background'],['residential'],['None of the above'],,['commercial / public'],background,1
"Is the plate mostly full, about half full, or mostly empty?",['mostly full'],['mostly full'],['mostly full'],['mostly full'],['mostly full'],"['mostly full', 'about half full', 'mostly empty', 'None of the above']",['mostly full'],object,1
What type of environment is visible?,['commercial / public'],['commercial / public'],['commercial / public'],['residential'],['None of the above'],,['commercial / public'],background,1
"What type of food is on the plate (e.g., fruit, vegetables, meat, grains, processed food)?","['meat', 'vegetables', 'eggs']","['meat', 'vegetables', 'eggs', 'processed food']","['vegetables', 'meat', 'seafood']","['vegetables', 'grains', 'meat', 'eggs']","['vegetables', 'meat']","['fruit', 'vegetables', 'meat', 'grains', 'processed food', 'dairy', 'baked goods', 'confectionery', 'seafood', 'nuts', 'eggs', 'None of the above']","['meat', 'vegetables', 'eggs']",object,1
What type of floor or ground is visible?,['wooden floor'],['wooden floor'],['None of the above'],['None of the above'],['None of the above'],,['None of the above'],background,0
