concept,country,org_path,img_path,dataset,question,attribute_values
bag_0,Indonesia,../regionised_subgeode_lim5/bag_0/3/1632.png,seedimgs/50.png,geode,"Does the bag have handles, a shoulder strap, or both?","['handles', 'both', 'shoulder strap']"
bag_0,Colombia,SD21-16/bag_0/4_a bag in Colombia/168.png,seedimgs/51.png,SD21-16,Is a brand logo or label visible on the bag?,"['yes', 'no']"
bag_0,Japan,flux1dev-gcs/bag_0/5_a bag in Japan/175.png,seedimgs/52.png,flux1dev-gcs,"Is the bag a backpack, handbag, or tote bag?","['backpack', 'tote bag', 'handbag']"
bag_0,India,flux1dev-gcs/bag_0/6_a bag in India/18.png,seedimgs/53.png,flux1dev-gcs,"Is the bag being carried by a person, placed on a surface, or hanging?","['carried by a person', 'placed on a surface', 'hanging']"
bag_0,China,SD21-16/bag_0/77_a bag in China/189.png,seedimgs/54.png,SD21-16,"Is the bag made of fabric, leather, or plastic?","['plastic', 'fabric', 'leather']"
bag_0,United States of America,SD35-gcs/bag_0/78_a bag in United States of America/244.png,seedimgs/55.png,SD35-gcs,Is the bag open or closed?,"['closed', 'open']"
bag_0,Mexico,SD3m-gcs/bag_0/74_a bag in Mexico/111.png,seedimgs/56.png,SD3m-gcs,"Is the bag's shape primarily rectangular, circular, or unstructured?","['circular', 'unstructured', 'rectangular']"
bag_0,United Arab Emirates,flux1dev-gcs/bag_0/75_a bag in United Arab Emirates/231.png,seedimgs/57.png,flux1dev-gcs,Is the bag's surface a solid color or patterned?,"['solid color', 'patterned']"
bag_0,South Korea,SD21-16/bag_0/76_a bag in South Korea/234.png,seedimgs/58.png,SD21-16,What is the main color of the bag?,"['white', 'black', 'purple', 'blue', 'green', 'orange', 'red', 'yellow', 'brown', 'pink', 'gray']"
bag_0,Spain,flux1dev-gcs/bag_0/70_a bag in Spain/11.png,seedimgs/59.png,flux1dev-gcs,"Is the bag being carried by a person, placed on a surface, or hanging?","['carried by a person', 'placed on a surface', 'hanging']"
bag_0,Italy,SD35-gcs/bag_0/71_a bag in Italy/24.png,seedimgs/60.png,SD35-gcs,Is the bag open or closed?,"['closed', 'open']"
bag_0,Egypt,SD3m-gcs/bag_0/72_a bag in Egypt/238.png,seedimgs/61.png,SD3m-gcs,Is the bag open or closed?,"['closed', 'open']"
bag_0,Philippines,SD35-gcs/bag_0/73_a bag in Philippines/241.png,seedimgs/62.png,SD35-gcs,"Is the bag's shape primarily rectangular, circular, or unstructured?","['circular', 'unstructured', 'rectangular']"
bag_0,Turkey,SD3m-gcs/bag_0/2_a bag in Turkey/232.png,seedimgs/63.png,SD3m-gcs,Is the bag open or closed?,"['closed', 'open']"
backyard_24,United Kingdom,SD21-16/backyard_24/42_a backyard in United Kingdom/219.png,seedimgs/64.png,SD21-16,Are there any animals or pets in the backyard?,"['yes', 'no']"
backyard_24,Nigeria,SD3m-gcs/backyard_24/43_a backyard in Nigeria/201.png,seedimgs/65.png,SD3m-gcs,Are there any pathways or walkways in the backyard?,"['yes', 'no']"
backyard_24,Indonesia,SD3m-gcs/backyard_24/45_a backyard in Indonesia/26.png,seedimgs/66.png,SD3m-gcs,"Are there any plants, trees, or shrubs in the backyard?","['yes', 'no']"
backyard_24,Colombia,SD21-16/backyard_24/46_a backyard in Colombia/64.png,seedimgs/67.png,SD21-16,Are there any structures in the backyard?,"['yes', 'no']"
backyard_24,Japan,SD3m-gcs/backyard_24/47_a backyard in Japan/18.png,seedimgs/68.png,SD3m-gcs,Are there any visible recreational items in the backyard?,"['yes', 'no']"
backyard_24,India,SD3m-gcs/backyard_24/48_a backyard in India/222.png,seedimgs/69.png,SD3m-gcs,Is a body of water visible in the backyard?,"['yes', 'no']"
backyard_24,China,SD35-gcs/backyard_24/131_a backyard in China/22.png,seedimgs/70.png,SD35-gcs,Is the backyard enclosed by a fence or wall?,"['yes', 'no']"
backyard_24,United States of America,SD3m-gcs/backyard_24/132_a backyard in United States of America/19.png,seedimgs/71.png,SD3m-gcs,Is there a garden or vegetable patch in the backyard?,"['yes', 'no']"
backyard_24,Mexico,flux1dev-gcs/backyard_24/128_a backyard in Mexico/108.png,seedimgs/72.png,flux1dev-gcs,Is there a patio or deck attached to the house in the backyard?,"['yes', 'no']"
backyard_24,United Arab Emirates,SD3m-gcs/backyard_24/129_a backyard in United Arab Emirates/197.png,seedimgs/73.png,SD3m-gcs,Is there a visible grill or outdoor kitchen area in the backyard?,"['yes', 'no']"
backyard_24,South Korea,SD3m-gcs/backyard_24/130_a backyard in South Korea/53.png,seedimgs/74.png,SD3m-gcs,Is there any outdoor furniture in the backyard?,"['yes', 'no']"
backyard_24,Spain,SD21-16/backyard_24/124_a backyard in Spain/70.png,seedimgs/75.png,SD21-16,"What is the primary ground cover in the backyard: grass, paving (concrete/tiles/stone), or dirt/gravel?","['grass', 'paving', 'dirt/gravel']"
backyard_24,Italy,SD3m-gcs/backyard_24/125_a backyard in Italy/167.png,seedimgs/76.png,SD3m-gcs,Is a body of water visible in the backyard?,"['yes', 'no']"
backyard_24,Egypt,flux1dev-gcs/backyard_24/126_a backyard in Egypt/40.png,seedimgs/77.png,flux1dev-gcs,Is there a visible grill or outdoor kitchen area in the backyard?,"['yes', 'no']"
backyard_24,Philippines,SD35-gcs/backyard_24/127_a backyard in Philippines/54.png,seedimgs/78.png,SD35-gcs,Are there any visible recreational items in the backyard?,"['yes', 'no']"
backyard_24,Turkey,SD35-gcs/backyard_24/44_a backyard in Turkey/233.png,seedimgs/79.png,SD35-gcs,Are there any visible recreational items in the backyard?,"['yes', 'no']"
car_27,United Kingdom,SD3m-gcs/car_27/49_a car in United Kingdom/161.png,seedimgs/80.png,SD3m-gcs,Are any wheels visible on the car?,"['yes', 'no']"
car_27,Nigeria,../regionised_subgeode_lim5/car_27/50/120.png,seedimgs/81.png,geode,Are the car’s headlights on or off?,"['on', 'off']"
car_27,Indonesia,SD21-16/car_27/52_a car in Indonesia/19.png,seedimgs/82.png,SD21-16,Are there any logos or brand badges on the car?,"['yes', 'no']"
car_27,Colombia,SD3m-gcs/car_27/53_a car in Colombia/63.png,seedimgs/83.png,SD3m-gcs,"Does the car have visible modifications like a spoiler, roof rack, or custom rims?","['yes', 'no']"
car_27,Japan,flux1dev-gcs/car_27/54_a car in Japan/126.png,seedimgs/84.png,flux1dev-gcs,Is the car a convertible or does it have a fixed roof?,"['convertible', 'fixed roof']"
car_27,India,flux1dev-gcs/car_27/55_a car in India/143.png,seedimgs/85.png,flux1dev-gcs,Is the car a sedan or SUV?,"['sedan', 'suv']"
car_27,China,flux1dev-gcs/car_27/140_a car in China/38.png,seedimgs/86.png,flux1dev-gcs,Is the car moving or stationary?,"['stationary', 'moving']"
car_27,United States of America,SD35-gcs/car_27/141_a car in United States of America/183.png,seedimgs/87.png,SD35-gcs,Is the car on a paved surface or an unpaved one?,"['unpaved surface', 'paved surface']"
car_27,Mexico,SD3m-gcs/car_27/137_a car in Mexico/108.png,seedimgs/88.png,SD3m-gcs,"Is the car viewed from the front, side, or rear?","['front', 'rear', 'side']"
car_27,United Arab Emirates,SD35-gcs/car_27/138_a car in United Arab Emirates/98.png,seedimgs/89.png,SD35-gcs,Is there a license plate on the car?,"['yes', 'no']"
car_27,South Korea,SD3m-gcs/car_27/139_a car in South Korea/27.png,seedimgs/90.png,SD3m-gcs,What is the primary color of the car?,"['white', 'black', 'blue', 'orange', 'brown', 'red', 'yellow', 'green', 'beige', 'gray']"
car_27,Spain,flux1dev-gcs/car_27/133_a car in Spain/87.png,seedimgs/91.png,flux1dev-gcs,Are there any logos or brand badges on the car?,"['yes', 'no']"
car_27,Italy,SD21-16/car_27/134_a car in Italy/201.png,seedimgs/92.png,SD21-16,Are the car’s headlights on or off?,"['on', 'off']"
car_27,Egypt,SD3m-gcs/car_27/135_a car in Egypt/132.png,seedimgs/93.png,SD3m-gcs,Is the car a sedan or SUV?,"['sedan', 'suv']"
car_27,Philippines,SD21-16/car_27/136_a car in Philippines/137.png,seedimgs/94.png,SD21-16,What is the primary color of the car?,"['white', 'black', 'blue', 'orange', 'brown', 'red', 'yellow', 'green', 'beige', 'gray']"
car_27,Turkey,../regionised_subgeode_lim5/car_27/51/708.png,seedimgs/95.png,geode,Is the car a convertible or does it have a fixed roof?,"['convertible', 'fixed roof']"
cooking pot_13,United Kingdom,SD35-gcs/cooking pot_13/28_a cooking pot in United Kingdom/32.png,seedimgs/96.png,SD35-gcs,"Are there any visible markings, patterns, or logos on the cooking pot?","['yes', 'no']"
cooking pot_13,Nigeria,SD35-gcs/cooking pot_13/29_a cooking pot in Nigeria/16.png,seedimgs/97.png,SD35-gcs,Does the pot have a lid on it?,"['yes', 'no']"
cooking pot_13,Indonesia,SD21-16/cooking pot_13/31_a cooking pot in Indonesia/68.png,seedimgs/98.png,SD21-16,Does the pot have a single handle or multiple handles?,"['no handles', 'single handle', 'multiple handles']"
cooking pot_13,Colombia,SD3m-gcs/cooking pot_13/32_a cooking pot in Colombia/68.png,seedimgs/99.png,SD3m-gcs,Is the pot sitting on a stovetop?,"['yes', 'no']"
cooking pot_13,Japan,SD21-16/cooking pot_13/33_a cooking pot in Japan/99.png,seedimgs/100.png,SD21-16,Is the pot taller than it is wide?,"['yes', 'no']"
cooking pot_13,India,SD21-16/cooking pot_13/34_a cooking pot in India/171.png,seedimgs/101.png,SD21-16,Is there anything visible inside the pot?,"['yes', 'no']"
cooking pot_13,China,SD3m-gcs/cooking pot_13/113_a cooking pot in China/78.png,seedimgs/102.png,SD3m-gcs,What is the primary color of the cooking pot?,"['blue', 'red', 'copper', 'silver', 'green', 'brown', 'orange', 'white', 'black']"
cooking pot_13,United States of America,SD35-gcs/cooking pot_13/114_a cooking pot in United States of America/79.png,seedimgs/103.png,SD35-gcs,What material does the pot appear to be made of?,"['copper', 'cast iron', 'stainless steel', 'ceramic', 'enamel']"
cooking pot_13,Mexico,SD35-gcs/cooking pot_13/110_a cooking pot in Mexico/56.png,seedimgs/104.png,SD35-gcs,Is there anything visible inside the pot?,"['yes', 'no']"
cooking pot_13,United Arab Emirates,SD35-gcs/cooking pot_13/111_a cooking pot in United Arab Emirates/116.png,seedimgs/105.png,SD35-gcs,"Are there any visible markings, patterns, or logos on the cooking pot?","['yes', 'no']"
cooking pot_13,South Korea,SD35-gcs/cooking pot_13/112_a cooking pot in South Korea/84.png,seedimgs/106.png,SD35-gcs,Does the pot have a single handle or multiple handles?,"['no handles', 'single handle', 'multiple handles']"
cooking pot_13,Spain,SD3m-gcs/cooking pot_13/106_a cooking pot in Spain/148.png,seedimgs/107.png,SD3m-gcs,Is the pot taller than it is wide?,"['yes', 'no']"
cooking pot_13,Italy,SD21-16/cooking pot_13/107_a cooking pot in Italy/19.png,seedimgs/108.png,SD21-16,Does the pot have a lid on it?,"['yes', 'no']"
cooking pot_13,Egypt,SD21-16/cooking pot_13/108_a cooking pot in Egypt/72.png,seedimgs/109.png,SD21-16,Does the pot have a lid on it?,"['yes', 'no']"
cooking pot_13,Philippines,../regionised_subgeode_lim5/cooking pot_13/109/16.png,seedimgs/110.png,geode,Does the pot have a single handle or multiple handles?,"['no handles', 'single handle', 'multiple handles']"
cooking pot_13,Turkey,../regionised_subgeode_lim5/cooking pot_13/30/1330.png,seedimgs/111.png,geode,Is the pot sitting on a stovetop?,"['yes', 'no']"
plate of food_10,United Kingdom,flux1dev-gcs/plate of food_10/14_a plate of food in United Kingdom/73.png,seedimgs/112.png,flux1dev-gcs,Are any vegetables visible on the plate?,"['yes', 'no']"
plate of food_10,Nigeria,flux1dev-gcs/plate of food_10/15_a plate of food in Nigeria/196.png,seedimgs/113.png,flux1dev-gcs,"Is a main protein source like meat, fish, or eggs visible on the plate?","['yes', 'no']"
plate of food_10,Indonesia,flux1dev-gcs/plate of food_10/17_a plate of food in Indonesia/113.png,seedimgs/114.png,flux1dev-gcs,Is a sauce or dressing visible on the food?,"['yes', 'no']"
plate of food_10,Colombia,SD21-16/plate of food_10/18_a plate of food in Colombia/49.png,seedimgs/115.png,SD21-16,Is any cutlery visible next to the plate?,"['yes', 'no']"
plate of food_10,Japan,SD21-16/plate of food_10/19_a plate of food in Japan/185.png,seedimgs/116.png,SD21-16,Is more than half of the plate's surface covered by food?,"['yes', 'no']"
plate of food_10,India,SD35-gcs/plate of food_10/20_a plate of food in India/103.png,seedimgs/117.png,SD35-gcs,"Is the food on the plate solid, liquid, or a mix of both?","['a mix of both', 'solid', 'liquid']"
plate of food_10,China,SD35-gcs/plate of food_10/95_a plate of food in China/126.png,seedimgs/118.png,SD35-gcs,"Is the food on the plate topped with any garnish, like fresh herbs or seeds?","['yes', 'no']"
plate of food_10,United States of America,SD3m-gcs/plate of food_10/96_a plate of food in United States of America/62.png,seedimgs/119.png,SD3m-gcs,Is the plate a single solid color?,"['yes', 'no']"
plate of food_10,Mexico,flux1dev-gcs/plate of food_10/92_a plate of food in Mexico/199.png,seedimgs/120.png,flux1dev-gcs,"Is the plate of food on a table, placemat, or countertop?","['placemat', 'table', 'countertop']"
plate of food_10,United Arab Emirates,SD35-gcs/plate of food_10/93_a plate of food in United Arab Emirates/78.png,seedimgs/121.png,SD35-gcs,Is the plate primarily white or black?,"['white', 'black']"
plate of food_10,South Korea,SD35-gcs/plate of food_10/94_a plate of food in South Korea/0.png,seedimgs/122.png,SD35-gcs,Is the plate round or square?,"['square', 'round']"
plate of food_10,Spain,SD35-gcs/plate of food_10/88_a plate of food in Spain/47.png,seedimgs/123.png,SD35-gcs,"Is there a carbohydrate, like rice, pasta, or potatoes, on the plate?","['yes', 'no']"
plate of food_10,Italy,../regionised_subgeode_lim5/plate of food_10/89/67.png,seedimgs/124.png,geode,"Is there a single main food item, or are there multiple items on the plate?","['multiple items', 'single main food item']"
plate of food_10,Egypt,SD3m-gcs/plate of food_10/90_a plate of food in Egypt/79.png,seedimgs/125.png,SD3m-gcs,"Is the food on the plate topped with any garnish, like fresh herbs or seeds?","['yes', 'no']"
plate of food_10,Philippines,flux1dev-gcs/plate of food_10/91_a plate of food in Philippines/224.png,seedimgs/126.png,flux1dev-gcs,"Is the food on the plate solid, liquid, or a mix of both?","['a mix of both', 'solid', 'liquid']"
plate of food_10,Turkey,flux1dev-gcs/plate of food_10/16_a plate of food in Turkey/143.png,seedimgs/127.png,flux1dev-gcs,Is more than half of the plate's surface covered by food?,"['yes', 'no']"
dog_30,United Kingdom,SD3m-gcs/dog_30/56_a dog in United Kingdom/18.png,seedimgs/128.png,SD3m-gcs,"Are the dog's ears floppy, erect, or folded?","['erect', 'folded', 'floppy']"
dog_30,Nigeria,SD3m-gcs/dog_30/57_a dog in Nigeria/54.png,seedimgs/129.png,SD3m-gcs,"Are there any objects like toys, a leash, or food near the dog?","['yes', 'no']"
dog_30,Indonesia,flux1dev-gcs/dog_30/59_a dog in Indonesia/15.png,seedimgs/130.png,flux1dev-gcs,"Does the dog have short, medium, or long fur?","['medium', 'long', 'short']"
dog_30,Colombia,SD3m-gcs/dog_30/60_a dog in Colombia/210.png,seedimgs/131.png,SD3m-gcs,"Does the dog's fur have a single solid color, or does it have multiple colors/patterns?","['multiple colors/patterns', 'single solid color']"
dog_30,Japan,SD35-gcs/dog_30/61_a dog in Japan/101.png,seedimgs/132.png,SD35-gcs,Is the dog alone or with other animals or people?,"['with other animals', 'alone', 'with people', 'with other animals and people']"
dog_30,India,flux1dev-gcs/dog_30/62_a dog in India/221.png,seedimgs/133.png,flux1dev-gcs,Is the dog in an indoor or outdoor setting?,"['outdoor', 'indoor']"
dog_30,China,SD35-gcs/dog_30/149_a dog in China/64.png,seedimgs/134.png,SD35-gcs,Is the dog wearing an accessory?,"['yes', 'no']"
dog_30,United States of America,flux1dev-gcs/dog_30/150_a dog in United States of America/31.png,seedimgs/135.png,flux1dev-gcs,Is the dog's mouth open or closed?,"['closed', 'open']"
dog_30,Mexico,SD3m-gcs/dog_30/146_a dog in Mexico/218.png,seedimgs/136.png,SD3m-gcs,What is the dog's primary activity or posture?,"['walking', 'eating', 'running', 'playing', 'standing', 'lying down', 'sitting']"
dog_30,United Arab Emirates,SD35-gcs/dog_30/147_a dog in United Arab Emirates/89.png,seedimgs/137.png,SD35-gcs,"Are there any objects like toys, a leash, or food near the dog?","['yes', 'no']"
dog_30,South Korea,SD3m-gcs/dog_30/148_a dog in South Korea/28.png,seedimgs/138.png,SD3m-gcs,Is the dog's mouth open or closed?,"['closed', 'open']"
dog_30,Spain,SD21-16/dog_30/142_a dog in Spain/215.png,seedimgs/139.png,SD21-16,"Are there any objects like toys, a leash, or food near the dog?","['yes', 'no']"
dog_30,Italy,../regionised_subgeode_lim5/dog_30/143/35.png,seedimgs/140.png,geode,Is the dog wearing an accessory?,"['yes', 'no']"
dog_30,Egypt,flux1dev-gcs/dog_30/144_a dog in Egypt/176.png,seedimgs/141.png,flux1dev-gcs,What is the dog's primary activity or posture?,"['walking', 'eating', 'running', 'playing', 'standing', 'lying down', 'sitting']"
dog_30,Philippines,SD3m-gcs/dog_30/145_a dog in Philippines/5.png,seedimgs/142.png,SD3m-gcs,"Does the dog's fur have a single solid color, or does it have multiple colors/patterns?","['multiple colors/patterns', 'single solid color']"
dog_30,Turkey,../regionised_subgeode_lim5/dog_30/58/1216.png,seedimgs/143.png,geode,Is the dog's mouth open or closed?,"['closed', 'open']"
chair_6,United Kingdom,SD21-16/chair_6/7_a chair in United Kingdom/9.png,seedimgs/144.png,SD21-16,Does the chair have a backrest?,"['yes', 'no']"
chair_6,Nigeria,SD21-16/chair_6/8_a chair in Nigeria/49.png,seedimgs/145.png,SD21-16,Does the chair have armrests?,"['yes', 'no']"
chair_6,Indonesia,SD3m-gcs/chair_6/10_a chair in Indonesia/89.png,seedimgs/146.png,SD3m-gcs,Does the chair have multiple distinct legs or a single central base?,"['multiple distinct legs', 'a single central base']"
chair_6,Colombia,SD21-16/chair_6/11_a chair in Colombia/93.png,seedimgs/147.png,SD21-16,Does the chair have wheels?,"['yes', 'no']"
chair_6,Japan,../regionised_subgeode_lim5/chair_6/12/2108.png,seedimgs/148.png,geode,"Is the backrest of the chair solid, slatted, or woven?","['slatted', 'woven', 'solid']"
chair_6,India,SD35-gcs/chair_6/13_a chair in India/234.png,seedimgs/149.png,SD35-gcs,Is the chair designed for a single person or multiple people?,"['multiple people', 'single person']"
chair_6,China,flux1dev-gcs/chair_6/86_a chair in China/167.png,seedimgs/150.png,flux1dev-gcs,Is the chair's backrest straight or curved?,"['straight', 'curved']"
